ndb_id,name,kcal,protein,fat,carbohydrate
188,"yogurt,vanilla,lofat,11 grams prot per 8 oz,fort w/ vit d",0.85,0.0493,0.0125,0.138
189,"yogurt,van/lem flav,nonfat milk,w/ lo-cal swtnr,fort w/vit d",0.43,0.0386,0.0018,0.075
190,"yogurt,choc,nonfat milk,fort w/ vitamin d",1.12,0.0353,0,0.2353
191,"protein supp,milk bsd,muscle milk,pdr",4.11,0.4571,0.1714,0.185
192,"protein supp,milk bsd,muscle milk lt,pdr",3.96,0.5,0.12,0.22
193,dulce de leche,3.15,0.0684,0.0735,0.5535
194,"egg sub,liq or frz,fat free",0.48,0.1,0,0.02
195,"cheese,dry white,queso seco",3.25,0.2451,0.2435,0.0204
196,"cheese,frsh,queso fresco",2.99,0.1809,0.2382,0.0298
197,"cheese,white,queso blanco",3.1,0.2038,0.2431,0.0253
198,"milk,bttrmlk,fluid,whl",0.62,0.0321,0.0331,0.0488
199,"yogurt,vanilla flavor,lowfat milk,swtnd w/ lo cal swtnr",0.86,0.0493,0.0125,0.138
200,"yogurt,frz,flavors not choc,nonfat milk,w/ low-calorie swtnr",1.04,0.044,0.008,0.197
201,"ice crm,soft serve,choc",2.22,0.041,0.13,0.222
202,"ice crm,bar or stk,choc covered",3.31,0.041,0.241,0.245
203,ice crm sndwch,2.37,0.0429,0.0857,0.3714
204,ice crm cookie sndwch,2.4,0.037,0.074,0.396
205,"ice crm cone,choc covered,w/ nuts,flavors other than choc",3.54,0.0521,0.2188,0.3438
206,"ice crm sndwch,made w/ lt ice crm,vanilla",1.86,0.0429,0.0304,0.3964
207,"ice crm sndwch,vanilla,lt,no sugar added",2,0.0571,0.0286,0.4286
208,"fat free ice crm,no sugar added,flavors other than choc",1.29,0.0441,0,0.2794
209,"milk dssrt bar,frz,made from lowfat milk",1.47,0.0441,0.0147,0.3309
210,"nutritional supp for people w/ diabetes,liq",0.88,0.044,0.0308,0.1188
211,"cheese,mexican blend",3.58,0.2354,0.2851,0.0175
212,"dairy,chs product,past process,american,vitamin d fort",3.08,0.1762,0.2249,0.087
213,"cheese,past process,american,wo/ added vitamin d",3.71,0.1813,0.3179,0.037
214,"cheese fd,past process,american,wo/ added vitamin d",3.3,0.1686,0.2563,0.0856
215,"egg,whl,raw,frz,salted,past",1.38,0.1097,0.1007,0.0083
216,"yogurt,greek,pln,nonfat",0.59,0.1019,0.0039,0.036
217,"egg,white,dried,stabilized,glucose red",3.62,0.8463,0.0048,0.0472
218,"cheese sprd,american or cheddar chs base,red fat",1.76,0.1341,0.0888,0.1071
219,"cheese,cheddar,red fat",3.09,0.2735,0.2041,0.0406
220,"ice crm,lt,soft serve,choc",1.41,0.0336,0.0369,0.2315
221,"ice crm bar,stk or nugget,w/ crunch coating",3.58,0.0211,0.2526,0.3712
222,"cheese,cheddar,nonfat or fat free",1.57,0.3214,0,0.0714
223,"cheese,swiss,nonfat or fat free",1.27,0.284,0,0.034
224,queso cotija,3.66,0.2,0.3,0.0397
225,"cheese,cheddar,sharp,sliced",4.1,0.2425,0.3382,0.0213
226,"cheese,mozzarella,lo moist,part-skim,shredded",3.04,0.2363,0.1972,0.0806
227,"yogurt,greek,non fat,vanilla,chobani",0.71,0.0907,0.0022,0.0809
228,"yogurt,greek,strawberry,dannon oikos",1.06,0.0825,0.0292,0.1167
229,"yogurt,greek,non fat,vanilla,dannon oikos",0.85,0.0812,0.0014,0.1272
230,"yogurt,greek,non fat,strawberry,dannon oikos",0.84,0.0803,0.0022,0.1253
231,"yogurt,greek,non fat,strawberry,chobani",0.8,0.0803,0.0012,0.1162
232,"allspice,ground",2.63,0.0609,0.0869,0.7212
233,anise seed,3.37,0.176,0.159,0.5002
234,"spices,basil,dried",2.33,0.2298,0.0407,0.4775
235,"spices,bay leaf",3.13,0.0761,0.0836,0.7497
236,caraway seed,3.33,0.1977,0.1459,0.499
237,"spices,cardamom",3.11,0.1076,0.067,0.6847
238,celery seed,3.92,0.1807,0.2527,0.4135
239,"chervil,dried",2.37,0.232,0.039,0.491
240,chili powder,2.82,0.1346,0.1428,0.497
241,"cinnamon,ground",2.47,0.0399,0.0124,0.8059
242,"cloves,ground",2.74,0.0597,0.13,0.6553
243,"coriander leaf,dried",2.79,0.2193,0.0478,0.521
244,coriander seed,2.98,0.1237,0.1777,0.5499
245,cumin seed,3.75,0.1781,0.2227,0.4424
246,curry powder,3.25,0.1429,0.1401,0.5583
247,dill seed,3.05,0.1598,0.1454,0.5517
248,"dill weed,dried",2.53,0.1996,0.0436,0.5582
249,fennel seed,3.45,0.158,0.1487,0.5229
250,fenugreek seed,3.23,0.23,0.0641,0.5835
251,garlic powder,3.31,0.1655,0.0073,0.7273
252,"ginger,ground",3.35,0.0898,0.0424,0.7162
253,"mace,ground",4.75,0.0671,0.3238,0.505
254,"marjoram,dried",2.71,0.1266,0.0704,0.6056
255,"spices,mustard sd,ground",5.08,0.2608,0.3624,0.2809
256,"nutmeg,ground",5.25,0.0584,0.3631,0.4929
257,onion powder,3.41,0.1041,0.0104,0.7912
258,"spices,oregano,dried",2.65,0.09,0.0428,0.6892
259,paprika,2.82,0.1414,0.1289,0.5399
260,"parsley,dried",2.92,0.2663,0.0548,0.5064
261,"pepper,black",2.51,0.1039,0.0326,0.6395
262,"pepper,red or cayenne",3.18,0.1201,0.1727,0.5663
263,"pepper,white",2.96,0.104,0.0212,0.6861
264,poppy seed,5.25,0.1799,0.4156,0.2813
265,poultry seasoning,3.07,0.0959,0.0753,0.6559
266,pumpkin pie spice,3.42,0.0576,0.126,0.6928
267,"rosemary,dried",3.31,0.0488,0.1522,0.6406
268,saffron,3.1,0.1143,0.0585,0.6537
269,"sage,ground",3.15,0.1063,0.1275,0.6073
270,"savory,ground",2.72,0.0673,0.0591,0.6873
271,"spices,tarragon,dried",2.95,0.2277,0.0724,0.5022
272,"spices,thyme,dried",2.76,0.0911,0.0743,0.6394
273,"turmeric,ground",3.12,0.0968,0.0325,0.6714
274,"basil,fresh",0.23,0.0315,0.0064,0.0265
275,"dill weed,frsh",0.43,0.0346,0.0112,0.0702
276,"mustard,prepared,yellow",0.6,0.0374,0.0334,0.0583
277,"salt,table",0,0,0,0
278,"vinegar,cider",0.21,0,0,0.0093
279,"thyme,frsh",1.01,0.0556,0.0168,0.2445
280,vanilla extract,2.88,0.0006,0.0006,0.1265
281,"vanilla extract,imitn,alcohol",2.37,0.0005,0,0.0241
282,"vanilla extract,imitn,no alcohol",0.56,0.0003,0,0.144
283,"vinegar,distilled",0.18,0,0,0.0004
284,"capers,canned",0.23,0.0236,0.0086,0.0489
285,"horseradish,prepared",0.48,0.0118,0.0069,0.1129
286,"rosemary,fresh",1.31,0.0331,0.0586,0.207
287,"peppermint,fresh",0.7,0.0375,0.0094,0.1489
288,"spearmint,fresh",0.44,0.0329,0.0073,0.0841
289,"spearmint,dried",2.85,0.1993,0.0603,0.5204
290,"vinegar,red wine",0.19,0.0004,0,0.0027
291,"vinegar,balsamic",0.88,0.0049,0,0.1703
292,"pace,dry taco seas mix",1.88,0,0,0.5629
293,"seasoning mix,dry,sazon,coriander & annatto",0,0,0,0
294,"seasoning mix,dry,taco,original",3.22,0.045,0,0.58
295,"seasoning mix,dry,chili,original",3.35,0.1082,0.073,0.5656
296,"babyfood,juc treats,fruit medley,todd",3.47,0,0.0002,0.8668
297,"babyfood,meat,bf,str",0.81,0.1203,0.0252,0.0243
298,"babyfood,meat,bf,str",0.81,0.1203,0.0252,0.0243
299,"babyfood,meat,veal,str",0.81,0.1312,0.0245,0.0151
300,"babyfood,meat,pork,str",1.24,0.14,0.071,0
301,"babyfood,meat,ham,str",0.97,0.113,0.038,0.037
302,"babyfood,meat,ham,junior",0.97,0.113,0.038,0.037
303,"babyfood,meat,lamb,str",0.87,0.1407,0.0341,0.0085
304,"babyfood,meat,lamb,junior",1.12,0.152,0.052,0
305,"babyfood,meat,chick,str",1.3,0.137,0.079,0.001
306,"babyfood,meat,chick,jr",1.46,0.14,0.096,0
307,"babyfood,meat,chick stks,jr",1.88,0.146,0.144,0.015
308,"babyfood,meat,turkey,str",1.11,0.115,0.062,0.014
309,"babyfood,meat,turkey,jr",1.11,0.115,0.062,0.014
310,"babyfood, meat, turkey sticks, junior",1.88,0.137,0.142,0.014
311,"babyfood,snack,gerber graduate fruit strips,real fruit bars",3.3,0.0082,0.0224,0.7661
312,"babyfood,meat,meat stks,jr",1.84,0.134,0.146,0.011
313,"babyfood,dinner,veg&dumplings&bf,str",0.48,0.02,0.009,0.077
314,"babyfood,dinner,veg&dumplings&bf,jr",0.48,0.021,0.008,0.08
315,"babyfood,dinner,bf lasagna,todd",0.77,0.042,0.021,0.1
316,"babyfood,dinner,macaroni&tomato&bf,str",0.61,0.0236,0.0147,0.0945
317,"babyfood,dinner,macaroni&tomato&bf,jr",0.59,0.025,0.011,0.094
318,"babyfood,ravioli,chs filled,w/tomato sau",0.99,0.036,0.022,0.163
319,"babyfood,dinner,bf noodle,str",0.63,0.0244,0.0226,0.0818
320,"babyfood,macaroni&chs,todd",0.82,0.035,0.026,0.112
321,"babyfood,dinner,bf&rice,todd",0.82,0.05,0.029,0.088
322,"babyfood,dinner,spaghetti&tomato&meat,jr",0.68,0.0257,0.0137,0.1142
323,"babyfood,dinner,spaghetti&tomato&meat,todd",0.75,0.053,0.01,0.108
324,"babyfood,dinner,bf stew,todd",0.51,0.051,0.012,0.055
325,"babyfood,dinner,veg&bf,str",0.77,0.0221,0.036,0.0884
326,"babyfood,dinner,veg&bf,jr",0.77,0.0221,0.036,0.0884
327,"babyfood,dinner,bf w/veg",0.96,0.0203,0.0693,0.0636
328,"babyfood,dinner,veg&bacon,str",0.69,0.0192,0.0295,0.0881
329,"babyfood,dinner,veg&ham,str",0.59,0.0219,0.0214,0.078
330,"babyfood,dinner,veg&ham,jr",0.6,0.0202,0.0189,0.0864
331,"babyfood,dinner,veg&lamb,str",0.52,0.02,0.02,0.069
332,"babyfood,dinner,veg&lamb,jr",0.51,0.021,0.017,0.071
333,"babyfood,dinner,chick noodle,str",0.66,0.0269,0.0206,0.0908
334,"babyfood,dinner,chick noodle,jr",0.55,0.0237,0.0118,0.0879
335,"babyfood,dinner,chick soup,str",0.5,0.016,0.017,0.072
336,babyfood  dinner  chick stew  todd,0.78,0.052,0.037,0.064
337,"babyfood,dinner,veg chick,str",0.59,0.0247,0.0173,0.0842
338,"babyfood,dinner,veg,noodles&chick,str",0.63,0.02,0.025,0.079
339,"babyfood,dinner,veg,noodles&chick,jr",0.64,0.017,0.022,0.091
340,"babyfood,dinner,pasta w/veg",0.6,0.017,0.021,0.084
341,"babyfood,dinner,veg&noodles&turkey,str",0.44,0.012,0.012,0.068
342,"babyfood,dinner,veg&noodles&turkey,jr",0.52,0.018,0.015,0.076
343,"babyfood,dinner,turkey&rice,str",0.52,0.0227,0.0124,0.0794
344,"babyfood,dinner,turkey & rice,jr",0.56,0.0237,0.0092,0.0957
345,"babyfood,dinner,veg&turkey,str",0.48,0.0232,0.009,0.0762
346,"babyfood,dinner,veg&turkey,jr",0.53,0.0172,0.0174,0.0755
347,"babyfood,dinner,macaroni&chs,str",0.67,0.0314,0.0211,0.0895
348,"babyfood,dinner,macaroni&chs,jr",0.61,0.026,0.02,0.082
349,"babyfood,veg,grn bns,str",0.27,0.012,0.0017,0.0629
350,"babyfood,veg,grn bns,jr",0.24,0.012,0.001,0.058
351,"babyfood,grn bns,dices,todd",0.29,0.012,0.002,0.057
352,"babyfood,veg,grn bns&potatoes",0.62,0.022,0.019,0.09
353,"babyfood,veg,beets,str",0.34,0.013,0.001,0.077
354,"babyfood,veg,carrots,str",0.26,0.008,0.001,0.06
355,"babyfood,veg,carrots,jr",0.32,0.008,0.002,0.072
356,"babyfood,veg,squash,str",0.28,0.0081,0.002,0.0573
357,"babyfood,veg,squash,jr",0.24,0.0081,0.002,0.0573
358,"babyfood,veg,swt potatoes,str",0.57,0.011,0.001,0.132
359,"babyfood,veg,swt potatoes,jr",0.6,0.011,0.001,0.14
360,"babyfood,potatoes,toddler",0.52,0.01,0.001,0.1173
361,"babyfood,veg,butternut squash&corn",0.5,0.02,0.006,0.0926
362,"babyfood,appls,dices,todd",0.51,0.002,0.001,0.121
363,"babyfood,fruit,applsauc,str",0.41,0.002,0.002,0.108
364,"babyfood,fruit,applsauc,jr",0.37,0,0,0.103
365,"babyfood,fruit,apricot w/tapioca,str",0.6,0.003,0,0.163
366,"babyfood,veg,corn,crmd,str",0.57,0.014,0.004,0.141
367,"babyfood,veg,corn,crmd,jr",0.65,0.014,0.004,0.1625
368,"babyfood,veg,peas,str",0.5,0.0327,0.0043,0.0836
369,"babyfood,peas,dices,todd",0.64,0.039,0.008,0.103
370,"babyfood,veg,spinach,crmd,str",0.37,0.025,0.013,0.057
371,"babyfood,fruit,apricot w/tapioca,jr",0.63,0.003,0,0.173
372,"babyfood,fruit,bananas w/tapioca,str",0.56,0.004,0.001,0.153
373,"babyfood,fruit,peaches,str",0.65,0.0094,0.0033,0.1448
374,"babyfood,fruit,peaches,jr",0.65,0.0094,0.0033,0.1448
375,"babyfood,fruit,pears,str",0.42,0.003,0.002,0.108
376,"babyfood,fruit,pears,jr",0.44,0.003,0.001,0.116
377,"babyfood,fruit,plums w/tapioca,wo/vit c,str",0.71,0.001,0,0.197
378,"babyfood,fruit,plums w/tapioca,wo/vit c,jr",0.74,0.001,0,0.205
